task;task.short_description;Urgency;task.business_duration
INC0403230;CFPLKBM012 TRIGGERED EVENT: CFPLKBM012.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;243
INC0403230;CFPLKBM012 TRIGGERED EVENT: CFPLKBM012.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;243
INC0403230;CFPLKBM012 TRIGGERED EVENT: CFPLKBM012.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;243
INC0403232;CFPLAD02:mon_SO_UNIX_Free_Datastore_VolumenSAS06_CSGI TRIGGERED EVENT: Free disk space is less than 150 GB on Datastore VolumenSAS06 WITH VALUE:0.0000;Not immediate;170
INC0403232;CFPLAD02:mon_SO_UNIX_Free_Datastore_VolumenSAS06_CSGI TRIGGERED EVENT: Free disk space is less than 150 GB on Datastore VolumenSAS06 WITH VALUE:0.0000;Not immediate;170
INC0403233;CFPLAD02:mon_SO_UNIX_Free_Datastore_VolumenSAS06_CSGI TRIGGERED EVENT: Free disk space is less than 100 GB on Datastore VolumenSAS06 WITH VALUE:0.0000;Some;183
INC0403233;CFPLAD02:mon_SO_UNIX_Free_Datastore_VolumenSAS06_CSGI TRIGGERED EVENT: Free disk space is less than 100 GB on Datastore VolumenSAS06 WITH VALUE:0.0000;Some;183
INC0403233;CFPLAD02:mon_SO_UNIX_Free_Datastore_VolumenSAS06_CSGI TRIGGERED EVENT: Free disk space is less than 100 GB on Datastore VolumenSAS06 WITH VALUE:0.0000;Some;183
INC0403233;CFPLAD02:mon_SO_UNIX_Free_Datastore_VolumenSAS06_CSGI TRIGGERED EVENT: Free disk space is less than 100 GB on Datastore VolumenSAS06 WITH VALUE:0.0000;Some;183
INC0403234;CFPLAD02:mon_SO_UNIX_Free_Datastore_VolumenSAS06_CSGI TRIGGERED EVENT: Free disk space is less than 125 GB on Datastore VolumenSAS06 WITH VALUE:0.0000;Some;203
INC0403234;CFPLAD02:mon_SO_UNIX_Free_Datastore_VolumenSAS06_CSGI TRIGGERED EVENT: Free disk space is less than 125 GB on Datastore VolumenSAS06 WITH VALUE:0.0000;Some;203
INC0403234;CFPLAD02:mon_SO_UNIX_Free_Datastore_VolumenSAS06_CSGI TRIGGERED EVENT: Free disk space is less than 125 GB on Datastore VolumenSAS06 WITH VALUE:0.0000;Some;203
INC0403235;CFPWSQL01:mon_BD_ Alerta Bloqueos TRIGGERED EVENT: ver detalle en [SoporteDBA].[dbo].[bloqueos] WITH VALUE:NOK;Some;500
INC0403235;CFPWSQL01:mon_BD_ Alerta Bloqueos TRIGGERED EVENT: ver detalle en [SoporteDBA].[dbo].[bloqueos] WITH VALUE:NOK;Some;500
INC0403236;Trasferencias recibidas sin volcar al concatenado.;Some;86821
INC0403237;DEV HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [25.0 (27/04/21 14:01:00)] was greater than or equal to the threshold (20.0).;Not immediate;7501
INC0403237;DEV HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [25.0 (27/04/21 14:01:00)] was greater than or equal to the threshold (20.0).;Not immediate;7501
INC0403238;SOPRWSUS01:mon_SO_WIN_Processor load (1 min average) TRIGGERED EVENT: Processor load is too high on SOPRWSUS01 WITH VALUE:8.9083;Some;378
INC0403238;SOPRWSUS01:mon_SO_WIN_Processor load (1 min average) TRIGGERED EVENT: Processor load is too high on SOPRWSUS01 WITH VALUE:8.9083;Some;378
INC0403239;DEV WARN Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [25.0 (27/04/21 14:38:00)] was greater than or equal to the threshold (16.0).;Not immediate;5255
INC0403239;DEV WARN Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [25.0 (27/04/21 14:38:00)] was greater than or equal to the threshold (16.0).;Not immediate;5255
INC0403240;CFDLKBM02:mon_SO_UNIX_KUBERNETES_NODES_CSGI TRIGGERED EVENT: CFDLKBM02 Kubernetes Nodes Is Down. WITH VALUE:0;Some;238
INC0403240;CFDLKBM02:mon_SO_UNIX_KUBERNETES_NODES_CSGI TRIGGERED EVENT: CFDLKBM02 Kubernetes Nodes Is Down. WITH VALUE:0;Some;238
INC0403241;CFPLWP02:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on CFPLWP02 WITH VALUE:1.2375;Not immediate;117
INC0403242;CFPLWP02:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on CFPLWP02 WITH VALUE:1.1550;Not immediate;117
INC0403243;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;302
INC0403243;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;302
INC0403243;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;302
INC0403244;PRO WARN Alert Type: Latency. Threshold Crossed: 1 datapoint [8.84741623061044 (27/04/21 16:16:00)] was greater than or equal to the threshold (5.0).;Not immediate;5349
INC0403244;PRO WARN Alert Type: Latency. Threshold Crossed: 1 datapoint [8.84741623061044 (27/04/21 16:16:00)] was greater than or equal to the threshold (5.0).;Not immediate;5349
INC0403245;PRO HIGH Alert Type: Latency. Threshold Crossed: 1 datapoint [12.370697784423829 (27/04/21 16:20:00)] was greater than or equal to the threshold (10.0).;Some;5105
INC0403245;PRO HIGH Alert Type: Latency. Threshold Crossed: 1 datapoint [12.370697784423829 (27/04/21 16:20:00)] was greater than or equal to the threshold (10.0).;Some;5105
INC0403245;PRO HIGH Alert Type: Latency. Threshold Crossed: 1 datapoint [12.370697784423829 (27/04/21 16:20:00)] was greater than or equal to the threshold (10.0).;Some;5105
INC0403246;PRE HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (27/04/21 16:35:00)] was greater than or equal to the threshold (20.0).;Not immediate;4188
INC0403246;PRE HIGH Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (27/04/21 16:35:00)] was greater than or equal to the threshold (20.0).;Not immediate;4188
INC0403247;PRE WARN Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (27/04/21 16:35:00)] was greater than or equal to the threshold (16.0).;Not immediate;4161
INC0403247;PRE WARN Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (27/04/21 16:35:00)] was greater than or equal to the threshold (16.0).;Not immediate;4161
INC0403248;Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [7620699.0 (27/04/21 17:06:00)] was greater than or equal to the threshold (7000000.0).;Not immediate;2273
INC0403248;Alert Type: NetworkOut. Threshold Crossed: 1 datapoint [7620699.0 (27/04/21 17:06:00)] was greater than or equal to the threshold (7000000.0).;Not immediate;2273
INC0403249;SOPRWSUS01:mon_SO_WIN_Processor load (1 min average) TRIGGERED EVENT: Processor load is too high on SOPRWSUS01 WITH VALUE:10.7583;Some;243
INC0403249;SOPRWSUS01:mon_SO_WIN_Processor load (1 min average) TRIGGERED EVENT: Processor load is too high on SOPRWSUS01 WITH VALUE:10.7583;Some;243
INC0403250;Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (27/04/21 21:03:00)] was greater than or equal to the threshold (20.0).;Not immediate;64607
INC0403250;Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (27/04/21 21:03:00)] was greater than or equal to the threshold (20.0).;Not immediate;64607
INC0403251;Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (27/04/21 21:03:00)] was greater than or equal to the threshold (16.0).;Not immediate;64577
INC0403251;Alert Type: EnvironmentHealth. Threshold Crossed: 1 datapoint [20.0 (27/04/21 21:03:00)] was greater than or equal to the threshold (16.0).;Not immediate;64577
INC0403252;CFPLKBM012 TRIGGERED EVENT: CFPLKBM012.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;369
INC0403252;CFPLKBM012 TRIGGERED EVENT: CFPLKBM012.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;369
INC0403252;CFPLKBM012 TRIGGERED EVENT: CFPLKBM012.cgcof.inet: mon_SO_UNIX_NODOFARMAVERIFICACIONBULK_SERVICES_CSGI;Some;369
INC0403253;CFPLKBM013 TRIGGERED EVENT: CFPLKBM013.cgcof.inet: mon_SO_UNIX_REGISTROFARMA_SERVICES_CSGI;Some;368
INC0403253;CFPLKBM013 TRIGGERED EVENT: CFPLKBM013.cgcof.inet: mon_SO_UNIX_REGISTROFARMA_SERVICES_CSGI;Some;368
INC0403253;CFPLKBM013 TRIGGERED EVENT: CFPLKBM013.cgcof.inet: mon_SO_UNIX_REGISTROFARMA_SERVICES_CSGI;Some;368
INC0403254;DMDB12:mon_BD_ORACLE_query[my_checks_05m,lista_bloqueos,status] TRIGGERED EVENT: zbxora[query,my_checks_05m,lista_bloqueos] failed WITH VALUE:1489;Not immediate;369
INC0403255;DMDB11:mon_BD_ORACLE_query[my_checks_05m,lista_bloqueos,status] TRIGGERED EVENT: zbxora[query,my_checks_05m,lista_bloqueos] failed WITH VALUE:1489;Not immediate;497
INC0403256;DMDB11:mon_BD_ORACLE_query[my_checks_05m,lista_bloqueos,status] TRIGGERED EVENT: zbxora[query,my_checks_05m,lista_bloqueos] failed WITH VALUE:1489;Not immediate;237
INC0403257;DMDB12:mon_BD_ORACLE_blocked[count] TRIGGERED EVENT: Blocked Sessions WITH VALUE:11;Some;371
INC0403257;DMDB12:mon_BD_ORACLE_blocked[count] TRIGGERED EVENT: Blocked Sessions WITH VALUE:11;Some;371
